"infection","geo","country","count"
"android.bakdoor.prizmes","LU","Luxembourg",7
"android.fakeav","LU","Luxembourg",1
"android.fungram","LU","Luxembourg",2
"android.hummer","LU","Luxembourg",23
"android.rootnik","LU","Luxembourg",3
"android.smsspy","LU","Luxembourg",1
"android.smsspy.be24","LU","Luxembourg",2
"android.teleplus","LU","Luxembourg",4
"flubot","LU","Luxembourg",15
"kasidet","LU","Luxembourg",2
"mkero","LU","Luxembourg",3
"poseidon","LU","Luxembourg",1
"ssh-brute-force","LU","Luxembourg",68
"telnet-brute-force","LU","Luxembourg",6
"unityminer","LU","Luxembourg",1
"vpnfilter","LU","Luxembourg",1
"CVE-2017-17215","LU","Luxembourg",1
